n,mde,power,p,pre,post,v,ar1
183,0.5,0.8,0.5,2,1,1,0.1
173,0.5,0.8,0.5,2,1,1,0.2
160,0.5,0.8,0.5,2,1,1,0.3
145,0.5,0.8,0.5,2,1,1,0.4
128,0.5,0.8,0.5,2,1,1,0.5
107,0.5,0.8,0.5,2,1,1,0.6
85,0.5,0.8,0.5,2,1,1,0.7
60,0.5,0.8,0.5,2,1,1,0.8
32,0.5,0.8,0.5,2,1,1,0.9
132,0.5,0.8,0.5,2,2,1,0.1
135,0.5,0.8,0.5,2,2,1,0.2
133,0.5,0.8,0.5,2,2,1,0.3
129,0.5,0.8,0.5,2,2,1,0.4
120,0.5,0.8,0.5,2,2,1,0.5
106,0.5,0.8,0.5,2,2,1,0.6
88,0.5,0.8,0.5,2,2,1,0.7
65,0.5,0.8,0.5,2,2,1,0.8
37,0.5,0.8,0.5,2,2,1,0.9
114,0.5,0.8,0.5,2,3,1,0.1
119,0.5,0.8,0.5,2,3,1,0.2
122,0.5,0.8,0.5,2,3,1,0.3
122,0.5,0.8,0.5,2,3,1,0.4
118,0.5,0.8,0.5,2,3,1,0.5
109,0.5,0.8,0.5,2,3,1,0.6
94,0.5,0.8,0.5,2,3,1,0.7
72,0.5,0.8,0.5,2,3,1,0.8
42,0.5,0.8,0.5,2,3,1,0.9
104,0.5,0.8,0.5,2,4,1,0.1
110,0.5,0.8,0.5,2,4,1,0.2
115,0.5,0.8,0.5,2,4,1,0.3
118,0.5,0.8,0.5,2,4,1,0.4
117,0.5,0.8,0.5,2,4,1,0.5
111,0.5,0.8,0.5,2,4,1,0.6
99,0.5,0.8,0.5,2,4,1,0.7
79,0.5,0.8,0.5,2,4,1,0.8
47,0.5,0.8,0.5,2,4,1,0.9
97,0.5,0.8,0.5,2,5,1,0.1
104,0.5,0.8,0.5,2,5,1,0.2
110,0.5,0.8,0.5,2,5,1,0.3
114,0.5,0.8,0.5,2,5,1,0.4
116,0.5,0.8,0.5,2,5,1,0.5
113,0.5,0.8,0.5,2,5,1,0.6
103,0.5,0.8,0.5,2,5,1,0.7
84,0.5,0.8,0.5,2,5,1,0.8
52,0.5,0.8,0.5,2,5,1,0.9
93,0.5,0.8,0.5,2,6,1,0.1
100,0.5,0.8,0.5,2,6,1,0.2
107,0.5,0.8,0.5,2,6,1,0.3
112,0.5,0.8,0.5,2,6,1,0.4
114,0.5,0.8,0.5,2,6,1,0.5
113,0.5,0.8,0.5,2,6,1,0.6
106,0.5,0.8,0.5,2,6,1,0.7
89,0.5,0.8,0.5,2,6,1,0.8
57,0.5,0.8,0.5,2,6,1,0.9
90,0.5,0.8,0.5,2,7,1,0.1
97,0.5,0.8,0.5,2,7,1,0.2
104,0.5,0.8,0.5,2,7,1,0.3
109,0.5,0.8,0.5,2,7,1,0.4
113,0.5,0.8,0.5,2,7,1,0.5
114,0.5,0.8,0.5,2,7,1,0.6
108,0.5,0.8,0.5,2,7,1,0.7
93,0.5,0.8,0.5,2,7,1,0.8
61,0.5,0.8,0.5,2,7,1,0.9
88,0.5,0.8,0.5,2,8,1,0.1
95,0.5,0.8,0.5,2,8,1,0.2
102,0.5,0.8,0.5,2,8,1,0.3
107,0.5,0.8,0.5,2,8,1,0.4
112,0.5,0.8,0.5,2,8,1,0.5
114,0.5,0.8,0.5,2,8,1,0.6
110,0.5,0.8,0.5,2,8,1,0.7
97,0.5,0.8,0.5,2,8,1,0.8
65,0.5,0.8,0.5,2,8,1,0.9
86,0.5,0.8,0.5,2,9,1,0.1
93,0.5,0.8,0.5,2,9,1,0.2
100,0.5,0.8,0.5,2,9,1,0.3
106,0.5,0.8,0.5,2,9,1,0.4
111,0.5,0.8,0.5,2,9,1,0.5
114,0.5,0.8,0.5,2,9,1,0.6
111,0.5,0.8,0.5,2,9,1,0.7
100,0.5,0.8,0.5,2,9,1,0.8
69,0.5,0.8,0.5,2,9,1,0.9
85,0.5,0.8,0.5,2,10,1,0.1
92,0.5,0.8,0.5,2,10,1,0.2
98,0.5,0.8,0.5,2,10,1,0.3
105,0.5,0.8,0.5,2,10,1,0.4
110,0.5,0.8,0.5,2,10,1,0.5
113,0.5,0.8,0.5,2,10,1,0.6
112,0.5,0.8,0.5,2,10,1,0.7
102,0.5,0.8,0.5,2,10,1,0.8
73,0.5,0.8,0.5,2,10,1,0.9